Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,BARLEY - ACRES PLANTED  -  <b>VALUE</b>,BARLEY - ACRES PLANTED  -  <b>CV (%)</b>
SURVEY,1947,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"11,981,000",
SURVEY,1946,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"11,467,000",
SURVEY,1945,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"11,745,000",
SURVEY,1944,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"14,352,000",
SURVEY,1943,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"17,474,000",
SURVEY,1942,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"19,686,000",
SURVEY,1941,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"15,857,000",
SURVEY,1940,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"15,689,000",
SURVEY,1939,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"15,513,000",
SURVEY,1938,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"12,171,000",
SURVEY,1937,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"12,346,000",
SURVEY,1936,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"12,837,000",
SURVEY,1935,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"13,956,000",
SURVEY,1934,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"12,024,000",
SURVEY,1933,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"14,200,000",
SURVEY,1932,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"14,555,000",
SURVEY,1931,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"13,820,000",
SURVEY,1930,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"13,581,000",
SURVEY,1929,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"14,703,000",
SURVEY,1928,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"12,828,000",
SURVEY,1927,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"9,513,000",
SURVEY,1926,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,TOTAL,NOT SPECIFIED,"8,796,000",
