Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,RICE - ACRES PLANTED  -  <b>VALUE</b>,RICE - ACRES PLANTED  -  <b>CV (%)</b>
SURVEY,1943,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,517,000",
SURVEY,1942,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,490,000",
SURVEY,1941,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,263,000",
SURVEY,1940,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,090,000",
SURVEY,1939,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,045,000",
SURVEY,1938,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,076,000",
SURVEY,1937,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,116,000",
SURVEY,1936,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"981,000",
SURVEY,1935,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"817,000",
SURVEY,1934,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"812,000",
SURVEY,1933,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"798,000",
SURVEY,1932,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"874,000",
SURVEY,1931,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"965,000",
SURVEY,1930,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"966,000",
SURVEY,1929,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"860,000",
